word,tags1
손바닥,TOPIK 1
손수건,TOPIK 1
송편,TOPIK 1
쇼핑,TOPIK 1
수건,TOPIK 1
수고,TOPIK 1
수박,TOPIK 1
수술,TOPIK 1
수업,TOPIK 1
수영,TOPIK 1
수영복,TOPIK 1
수영장,TOPIK 1
수요일,TOPIK 1
수저,TOPIK 1
수첩,TOPIK 1
숙제,TOPIK 1
순두부찌개,TOPIK 1
순서,TOPIK 1
숟가락,TOPIK 1
술,TOPIK 1
술집,TOPIK 1
숫자,TOPIK 1
쉰,TOPIK 1
쉽다,TOPIK 1
슈퍼마켓,TOPIK 1
스무,TOPIK 1
스물,TOPIK 1
스스로,TOPIK 1
스웨터,TOPIK 1
스카프,TOPIK 1
스케이트,TOPIK 1
스키,TOPIK 1
스키장,TOPIK 1
스타,TOPIK 1
스트레스,TOPIK 1
스파게티,TOPIK 1
스포츠,TOPIK 1
슬퍼하다,TOPIK 1
슬프다,TOPIK 1
슬픔,TOPIK 1
습관,TOPIK 1
시간,TOPIK 1
시간표,TOPIK 1
시계,TOPIK 1
시골,TOPIK 1
시끄럽다,TOPIK 1
시내,TOPIK 1
시다,TOPIK 1
시민,TOPIK 1
시어머니,TOPIK 1
시원하다,TOPIK 1
시월,TOPIK 1
시작,TOPIK 1
시키다,TOPIK 1
시험,TOPIK 1
식구,TOPIK 1
식다,TOPIK 1
식당,TOPIK 1
식빵,TOPIK 1
식사,TOPIK 1
식초,TOPIK 1
식탁,TOPIK 1
식품,TOPIK 1
신다,TOPIK 1
신랑,TOPIK 1
신문,TOPIK 1
신발,TOPIK 1
신분증,TOPIK 1
신선하다,TOPIK 1
신청,TOPIK 1
신호,TOPIK 1
신호등,TOPIK 1
신혼여행,TOPIK 1
싣다,TOPIK 1
실수,TOPIK 1
실패,TOPIK 1
싫다,TOPIK 1
싫어하다,TOPIK 1
심다,TOPIK 1
심심하다,TOPIK 1
심하다,TOPIK 1
십,TOPIK 1
십만,TOPIK 1
십이월,TOPIK 1
십일월,TOPIK 1
싱겁다,TOPIK 1
싸우다,TOPIK 1
쌀,TOPIK 1
쌀쌀하다,TOPIK 1
쌓다,TOPIK 1
썰다,TOPIK 1
쓰다,TOPIK 1
쓰레기,TOPIK 1
쓰레기통,TOPIK 1
씹다,TOPIK 1
씻다,TOPIK 1
아,TOPIK 1
아가씨,TOPIK 1
아기,TOPIK 1
아까,TOPIK 1
아나운서,TOPIK 1
아내,TOPIK 1
아니,TOPIK 1
아니다,TOPIK 1
아니요,TOPIK 1
아들,TOPIK 1
아래,TOPIK 1
아래쪽,TOPIK 1
아르바이트,TOPIK 1
아름답다,TOPIK 1
아마,TOPIK 1
아무,TOPIK 1
아무것,TOPIK 1
아무리,TOPIK 1
아버님,TOPIK 1
아버지,TOPIK 1
아빠,TOPIK 1
아이스크림,TOPIK 1
아저씨,TOPIK 1
아주,TOPIK 1
아주머니,TOPIK 1
아줌마,TOPIK 1
아직,TOPIK 1
아침,TOPIK 1
아파트,TOPIK 1
아프다,TOPIK 1
아홉,TOPIK 1
아흔,TOPIK 1
악기,TOPIK 1
안,TOPIK 1
안,TOPIK 1
안개,TOPIK 1
안경,TOPIK 1
안내,TOPIK 1
안내문,TOPIK 1
안녕,TOPIK 1
안녕히,TOPIK 1
안다,TOPIK 1
안전,TOPIK 1
안쪽,TOPIK 1
앉다,TOPIK 1
알다,TOPIK 1
알리다,TOPIK 1
알맞다,TOPIK 1
알아보다,TOPIK 1
앞,TOPIK 1
앞쪽,TOPIK 1
애인,TOPIK 1
앨범,TOPIK 1
야,TOPIK 1
야구,TOPIK 1
야채,TOPIK 1
약,TOPIK 1
약간,TOPIK 1
약국,TOPIK 1
약사,TOPIK 1
약속,TOPIK 1
약하다,TOPIK 1
얇다,TOPIK 1
양말,TOPIK 1
양복,TOPIK 1
양식집,TOPIK 1
양치질,TOPIK 1
얘기,TOPIK 1
어,TOPIK 1
어깨,TOPIK 1
어느,TOPIK 1
어둡다,TOPIK 1
어디,TOPIK 1
어떠하다,TOPIK 1
어떤,TOPIK 1
어떻다,TOPIK 1
어렵다,TOPIK 1
어른,TOPIK 1
어리다,TOPIK 1
어린아이,TOPIK 1
어린이,TOPIK 1
어머니,TOPIK 1
어머님,TOPIK 1
어서,TOPIK 1
어울리다,TOPIK 1
어제,TOPIK 1
어젯밤,TOPIK 1
억,TOPIK 1
언니,TOPIK 1
언어,TOPIK 1
언제,TOPIK 1
언제나,TOPIK 1
얻다,TOPIK 1
얼굴,TOPIK 1
